Tanggal;Produk;Jumlah Terjual
2023-01;Kerupuk Udang Melati;95
2023-01;Keripik Pisang;225
2023-01;Kerupuk Udang Mawar;100
2023-01;Makaroni;300
2023-01;Keripik Singkong Asin;250
2023-01;Ring;300
2023-01;Sanjai Balado;45
2023-01;Kerupuk Ikan;60
2023-01;Kerupuk Jengkol;400
2023-01;Keripik Untir-Untir;150
2023-01;Kerupuk Seblak;120
2023-01;Stick Keju;500
2023-01;Keripik Singkong Pedas;600
2023-02;Kerupuk Udang Melati;379
2023-02;Keripik Pisang;539
2023-02;Kerupuk Udang Mawar;105
2023-02;Makaroni;119
2023-02;Keripik Singkong Asin;123
2023-02;Ring;779
2023-02;Sanjai Balado;110
2023-02;Kerupuk Ikan;706
2023-02;Kerupuk Jengkol;787
2023-02;Keripik Untir-Untir;123
2023-02;Kerupuk Seblak;401
2023-02;Stick Keju;203
2023-02;Keripik Singkong Pedas;745
2023-03;Kerupuk Udang Melati;119
2023-03;Keripik Pisang;337
2023-03;Kerupuk Udang Mawar;116
2023-03;Makaroni;357
2023-03;Keripik Singkong Asin;594
2023-03;Ring;783
2023-03;Sanjai Balado;123
2023-03;Kerupuk Ikan;272
2023-03;Kerupuk Jengkol;773
2023-03;Keripik Untir-Untir;141
2023-03;Kerupuk Seblak;572
2023-03;Stick Keju;466
2023-03;Keripik Singkong Pedas;63
2023-04;Kerupuk Udang Melati;300
2023-04;Keripik Pisang;683
2023-04;Kerupuk Udang Mawar;345
2023-04;Makaroni;325
2023-04;Keripik Singkong Asin;717
2023-04;Ring;470
2023-04;Sanjai Balado;310
2023-04;Kerupuk Ikan;524
2023-04;Kerupuk Jengkol;722
2023-04;Keripik Untir-Untir;308
2023-04;Kerupuk Seblak;317
2023-04;Stick Keju;387
2023-04;Keripik Singkong Pedas;256
2023-05;Kerupuk Udang Melati;614
2023-05;Keripik Pisang;399
2023-05;Kerupuk Udang Mawar;621
2023-05;Makaroni;313
2023-05;Keripik Singkong Asin;275
2023-05;Ring;460
2023-05;Sanjai Balado;699
2023-05;Kerupuk Ikan;442
2023-05;Kerupuk Jengkol;776
2023-05;Keripik Untir-Untir;269
2023-05;Kerupuk Seblak;365
2023-05;Stick Keju;142
2023-05;Keripik Singkong Pedas;309
2023-06;Kerupuk Udang Melati;387
2023-06;Keripik Pisang;723
2023-06;Kerupuk Udang Mawar;215
2023-06;Makaroni;207
2023-06;Keripik Singkong Asin;414
2023-06;Ring;662
2023-06;Sanjai Balado;428
2023-06;Kerupuk Ikan;624
2023-06;Kerupuk Jengkol;179
2023-06;Keripik Untir-Untir;513
2023-06;Kerupuk Seblak;747
2023-06;Stick Keju;608
2023-06;Keripik Singkong Pedas;132
2023-07;Kerupuk Udang Melati;690
2023-07;Keripik Pisang;381
2023-07;Kerupuk Udang Mawar;76
2023-07;Makaroni;527
2023-07;Keripik Singkong Asin;65
2023-07;Ring;158
2023-07;Sanjai Balado;794
2023-07;Kerupuk Ikan;494
2023-07;Kerupuk Jengkol;652
2023-07;Keripik Untir-Untir;241
2023-07;Kerupuk Seblak;231
2023-07;Stick Keju;509
2023-07;Keripik Singkong Pedas;460
2023-08;Kerupuk Udang Melati;675
2023-08;Keripik Pisang;665
2023-08;Kerupuk Udang Mawar;111
2023-08;Makaroni;473
2023-08;Keripik Singkong Asin;797
2023-08;Ring;382
2023-08;Sanjai Balado;73
2023-08;Kerupuk Ikan;139
2023-08;Kerupuk Jengkol;448
2023-08;Keripik Untir-Untir;231
2023-08;Kerupuk Seblak;721
2023-08;Stick Keju;209
2023-08;Keripik Singkong Pedas;412
2023-09;Kerupuk Udang Melati;216
2023-09;Keripik Pisang;299
2023-09;Kerupuk Udang Mawar;752
2023-09;Makaroni;593
2023-09;Keripik Singkong Asin;156
2023-09;Ring;293
2023-09;Sanjai Balado;698
2023-09;Kerupuk Ikan;343
2023-09;Kerupuk Jengkol;505
2023-09;Keripik Untir-Untir;752
2023-09;Kerupuk Seblak;712
2023-09;Stick Keju;764
2023-09;Keripik Singkong Pedas;378
2023-10;Kerupuk Udang Melati;616
2023-10;Keripik Pisang;53
2023-10;Kerupuk Udang Mawar;490
2023-10;Makaroni;235
2023-10;Keripik Singkong Asin;146
2023-10;Ring;768
2023-10;Sanjai Balado;464
2023-10;Kerupuk Ikan;366
2023-10;Kerupuk Jengkol;444
2023-10;Keripik Untir-Untir;149
2023-10;Kerupuk Seblak;426
2023-10;Stick Keju;571
2023-10;Keripik Singkong Pedas;306
2023-11;Kerupuk Udang Melati;475
2023-11;Keripik Pisang;470
2023-11;Kerupuk Udang Mawar;196
2023-11;Makaroni;284
2023-11;Keripik Singkong Asin;281
2023-11;Ring;782
2023-11;Sanjai Balado;391
2023-11;Kerupuk Ikan;496
2023-11;Kerupuk Jengkol;413
2023-11;Keripik Untir-Untir;193
2023-11;Kerupuk Seblak;796
2023-11;Stick Keju;314
2023-11;Keripik Singkong Pedas;519
2023-12;Kerupuk Udang Melati;305
2023-12;Keripik Pisang;397
2023-12;Kerupuk Udang Mawar;666
2023-12;Makaroni;237
2023-12;Keripik Singkong Asin;762
2023-12;Ring;241
2023-12;Sanjai Balado;475
2023-12;Kerupuk Ikan;451
2023-12;Kerupuk Jengkol;595
2023-12;Keripik Untir-Untir;53
2023-12;Kerupuk Seblak;152
2023-12;Stick Keju;386
2023-12;Keripik Singkong Pedas;768
