Tanggal;Produk;Jumlah Terjual
2021-01;Kerupuk Udang Melati;799
2021-01;Keripik Pisang;502
2021-01;Kerupuk Udang Mawar;253
2021-01;Makaroni;267
2021-01;Keripik Singkong Asin;523
2021-01;Ring;481
2021-01;Sanjai Balado;390
2021-01;Kerupuk Ikan;600
2021-01;Kerupuk Jengkol;661
2021-01;Keripik Untir-Untir;338
2021-01;Kerupuk Seblak;303
2021-01;Stick Keju;783
2021-01;Keripik Singkong Pedas;406
2021-02;Kerupuk Udang Melati;72
2021-02;Keripik Pisang;571
2021-02;Kerupuk Udang Mawar;149
2021-02;Makaroni;229
2021-02;Keripik Singkong Asin;272
2021-02;Ring;708
2021-02;Sanjai Balado;491
2021-02;Kerupuk Ikan;657
2021-02;Kerupuk Jengkol;374
2021-02;Keripik Untir-Untir;565
2021-02;Kerupuk Seblak;65
2021-02;Stick Keju;385
2021-02;Keripik Singkong Pedas;307
2021-03;Kerupuk Udang Melati;546
2021-03;Keripik Pisang;209
2021-03;Kerupuk Udang Mawar;524
2021-03;Makaroni;713
2021-03;Keripik Singkong Asin;739
2021-03;Ring;724
2021-03;Sanjai Balado;429
2021-03;Kerupuk Ikan;594
2021-03;Kerupuk Jengkol;740
2021-03;Keripik Untir-Untir;476
2021-03;Kerupuk Seblak;662
2021-03;Stick Keju;317
2021-03;Keripik Singkong Pedas;626
2021-04;Kerupuk Udang Melati;466
2021-04;Keripik Pisang;217
2021-04;Kerupuk Udang Mawar;92
2021-04;Makaroni;605
2021-04;Keripik Singkong Asin;334
2021-04;Ring;446
2021-04;Sanjai Balado;61
2021-04;Kerupuk Ikan;656
2021-04;Kerupuk Jengkol;351
2021-04;Keripik Untir-Untir;302
2021-04;Kerupuk Seblak;548
2021-04;Stick Keju;84
2021-04;Keripik Singkong Pedas;776
2021-05;Kerupuk Udang Melati;139
2021-05;Keripik Pisang;654
2021-05;Kerupuk Udang Mawar;651
2021-05;Makaroni;467
2021-05;Keripik Singkong Asin;164
2021-05;Ring;666
2021-05;Sanjai Balado;245
2021-05;Kerupuk Ikan;550
2021-05;Kerupuk Jengkol;675
2021-05;Keripik Untir-Untir;542
2021-05;Kerupuk Seblak;124
2021-05;Stick Keju;462
2021-05;Keripik Singkong Pedas;425
2021-06;Kerupuk Udang Melati;469
2021-06;Keripik Pisang;778
2021-06;Kerupuk Udang Mawar;326
2021-06;Makaroni;725
2021-06;Keripik Singkong Asin;443
2021-06;Ring;506
2021-06;Sanjai Balado;241
2021-06;Kerupuk Ikan;788
2021-06;Kerupuk Jengkol;738
2021-06;Keripik Untir-Untir;148
2021-06;Kerupuk Seblak;597
2021-06;Stick Keju;145
2021-06;Keripik Singkong Pedas;713
2021-07;Kerupuk Udang Melati;712
2021-07;Keripik Pisang;239
2021-07;Kerupuk Udang Mawar;785
2021-07;Makaroni;86
